company_cd,rr_cd,company_name,company_name_en,company_name_k,company_name_h,company_name_h_en,company_name_r,company_url,company_type,e_status,e_sort
249,99,Osaka Metro,Osaka Metro,オオサカメトロ,大阪市高速電気軌道株式会社,Osaka shi kousoku denki kidou kabushiki kaisha,大阪メトロ,http://www.osakametro.co.jp,2,0,197
200,99,大阪市交通局,Osaka shi koutsuu kyoku,オオサカシコウツウキョク,大阪市交通局,Osaka shi koutsuu kyoku,大阪市交通局,http://www.city.osaka.lg.jp/toshikotsu/,0,2,198
201,99,大阪モノレール株式会社,Osaka monorail kabushiki kaisha,オオサカモノレール,大阪モノレール株式会社,Osaka monorail kabushiki kaisha,大阪モノレール,http://www.osaka-monorail.co.jp/,0,0,199
202,99,阪堺電気軌道,Hankai denki kidou,ハンカイデンキキドウ,阪堺電気軌道株式会社,Hankai denki kidou kabushiki kaisha,阪堺,http://www.hankai.co.jp/,0,0,200
203,99,神戸高速鉄道,Koube kousoku tetsudou,コウベコウソクテツドウ,神戸高速鉄道株式会社,Koube kousoku tetsudou kabushiki kaisha,神戸高速,http://www.kobe-kousoku.jp/,3,0,201
204,99,神戸電鉄,Koube dentetsu,コウベデンテツ,神戸電鉄株式会社,Koube dentetsu kabushiki kaisha,神鉄,http://www.shintetsu.co.jp/,0,0,202
205,99,北神急行電鉄,Kita kami kyuukou dentetsu,ホクシンキュウコウデンテツ,北神急行電鉄株式会社,Kita kami kyuukou dentetsu kabushiki kaisha,北神急行,http://www.hokushinkyuko.co.jp/,0,2,203
206,99,山陽電気鉄道,San'You denki tetsudou,サンヨウデンキテツドウ,山陽電気鉄道株式会社,San'You denki tetsudou kabushiki kaisha,山陽電車,http://www.sanyo-railway.co.jp/,3,0,204
207,99,能勢電鉄,Nose dentetsu,ノセデンテツ,能勢電鉄株式会社,Nose dentetsu kabushiki kaisha,能勢電,http://noseden.hankyu.co.jp/,0,0,205
208,99,三木鉄道,Miki tetsudou,ミキテツドウ,三木鉄道株式会社,Miki tetsudou kabushiki kaisha,三木鉄道,,0,2,206
209,99,北条鉄道,Houjou tetsudou,ホウジョウテツドウ,北条鉄道株式会社,Houjou tetsudou kabushiki kaisha,北条鉄道,http://www.hojorailway.jp/,0,0,207
210,99,智頭急行,Chizu kyuukou,チズキュウコウ,智頭急行株式会社,Chizu kyuukou kabushiki kaisha,智頭急,http://www.chizukyu.co.jp/,0,0,208
211,99,神戸市交通局,Koube shi koutsuu kyoku,コウベシコウツウキョク,神戸市交通局,Koube shi koutsuu kyoku,神戸市交通局,http://www.city.kobe.lg.jp/,0,0,209
212,99,神戸新交通,Koube shinkoutsuu,コウベシンコウツウ,神戸新交通株式会社,Koube shinkoutsuu kabushiki kaisha,新神交,http://www.knt-liner.co.jp/,0,0,210
213,99,紀州鉄道,Kishuu tetsudou,キシュウテツドウ,紀州鉄道株式会社,Kishuu tetsudou kabushiki kaisha,紀鉄,http://www.kitetsu.co.jp/,0,0,211
214,99,和歌山電鐵,Wakayama dentetsu,ワカヤマデンテツ,和歌山電鐵株式会社,Wakayama dentetsu kabushiki kaisha,和歌山電鐵,http://www.wakayama-dentetsu.co.jp/,0,0,212
215,99,若桜鉄道,Wakasa tetsudou,サカサテツドウ,若桜鉄道株式会社,Wakasa tetsudou kabushiki kaisha,若鉄,http://www.infosakyu.ne.jp/~wakatetu/,0,0,213
216,99,一畑電車,Ichibata densha,イチバタデンシャ,一畑電車株式会社,Ichibata densha kabushiki kaisha,ばたでん,http://www.ichibata.co.jp/railway/,0,0,214
217,99,水島臨海鉄道,Mizushima rinkai tetsudou,ミズシマリンカイテツドウ,水島臨海鉄道株式会社,Mizushima rinkai tetsudou kabushiki kaisha,水島臨海鉄道,http://www.mizurin.co.jp/,0,0,215
218,99,井原鉄道,Ibara tetsudou,イバラテツドウ,井原鉄道株式会社,Ibara tetsudou kabushiki kaisha,井原鉄道,http://plus.harenet.ne.jp/~ibarasen/,0,0,216
219,99,岡山電気軌道,Okayama denki kidou,オカヤマデンキキドウ,岡山電気軌道株式会社,Okayama denki kidou kabushiki kaisha,岡電,http://www.okayama-kido.co.jp/,0,0,217
220,99,スカイレールサービス,Sky rail service,スカイレールサービス,スカイレールサービス株式会社,Sky rail service kabushiki kaisha,スカイレールサービス,,0,0,218
221,99,広島高速交通,Hiroshima kousoku koutsuu,ヒロシマコウソクコウツウ,広島高速交通株式会社,Hiroshima kousoku koutsuu kabushiki kaisha,広島高速交通,http://astramline.co.jp/,0,0,219
222,99,広島電鉄,Hiroshima dentetsu,ヒロシマデンテツ,広島電鉄株式会社,Hiroshima dentetsu kabushiki kaisha,広電,http://www.hiroden.co.jp/,0,0,220
223,99,錦川鉄道,Nishikigawa tetsudou,ニシキガワテツドウ,錦川鉄道株式会社,Nishikigawa tetsudou kabushiki kaisha,錦川鉄道,http://nishikigawa.com/,0,0,221
224,99,阿佐海岸鉄道,Asa kaigan tetsudou,アサカイガンテツドウ,阿佐海岸鉄道株式会社,Asa kaigan tetsudou kabushiki kaisha,阿佐鉄,http://www.asatetu.v-co.jp/,0,0,222
225,99,高松琴平電気鉄道,Takamatsu Kotohira denki tetsudou,タカマツコトヒラデンキテツドウ,高松琴平電気鉄道株式会社,Takamatsu Kotohira denki tetsudou kabushiki kaisha,琴電,http://www.kotoden.co.jp/,0,0,223
226,99,伊予鉄道,Iyo tetsudou,イヨテツドウ,伊予鉄道株式会社,Iyo tetsudou kabushiki kaisha,伊予鉄,http://www.iyotetsu.co.jp/,0,0,224
227,99,土佐くろしお鉄道,Tosa kuroshio tetsudou,トサクロシオテツドウ,土佐くろしお鉄道株式会社,Tosa kuroshio tetsudou kabushiki kaisha,土佐くろしお鉄道,http://www.tosakuro.co.jp/,0,0,225
228,99,土佐電気鉄道,Tosa denki tetsudou,トサデンキテツドウ,土佐電気鉄道株式会社,Tosa denki tetsudou kabushiki kaisha,土佐電,http://www.tosaden.co.jp/,0,0,226
229,99,甘木鉄道,Amagi tetsudou,アマギテツドウ,甘木鉄道株式会社,Amagi tetsudou kabushiki kaisha,甘木鉄道,http://www.amatetsu.jp/,0,0,227
230,99,平成筑豊鉄道,Heisei Chikuhou tetsudou,ヘイセイチクホウテツドウ,平成筑豊鉄道株式会社,Heisei Chikuhou tetsudou kabushiki kaisha,平成筑豊鉄道,http://www.heichiku.net/,0,0,228
231,99,福岡市交通局,Fukuoka shi koutsuu kyoku,フクオカシコウツウキョク,福岡市交通局,Fukuoka shi koutsuu kyoku,福岡市交通局,http://subway.city.fukuoka.lg.jp/,0,0,229
232,99,北九州高速鉄道,Kitakyuushuu kousoku tetsudou,キタキュウシュウコウソクテツドウ,北九州高速鉄道株式会社,Kitakyuushuu kousoku tetsudou kabushiki kaisha,北九州モノレール,http://www.kitakyushu-monorail.co.jp/,0,0,230
233,99,筑豊電気鉄道,Chikuhou denki tetsudou,チクホウデンキテツドウ,筑豊電気鉄道株式会社,Chikuhou denki tetsudou kabushiki kaisha,筑鉄,http://www.chikutetsu.co.jp/,0,0,231
234,99,松浦鉄道,Matsuura tetsudou,マツウラテツドウ,松浦鉄道株式会社,Matsuura tetsudou kabushiki kaisha,松浦鉄道,http://www.matutetu.com/,0,0,232
235,99,島原鉄道,Shimabara tetsudou,シマバラテツドウ,島原鉄道株式会社,Shimabara tetsudou kabushiki kaisha,島原鉄道,http://www.shimatetsu.co.jp/,0,0,233
236,99,長崎電気軌道,Nagasaki denki kidou,ナガサキデンキキドウ,長崎電気軌道株式会社,Nagasaki denki kidou kabushiki kaisha,長崎電気軌道,http://www.naga-den.com/,0,0,234
237,99,熊本電気鉄道,Kumamoto denki tetsudou,クマモトデンキテツドウ,熊本電気鉄道株式会社,Kumamoto denki tetsudou kabushiki kaisha,熊本電気鉄道,http://www.kumamotodentetsu.co.jp/,0,0,235
238,99,南阿蘇鉄道,Minamiaso tetsudou,ミナミアソテツドウ,南阿蘇鉄道株式会社,Minamiaso tetsudou kabushiki kaisha,南阿蘇鉄道,http://www.mt-torokko.com/,0,0,236
239,99,くま川鉄道,Kuma kawa tetsudou,クマガワテツドウ,くま川鉄道株式会社,Kuma kawa tetsudou kabushiki kaisha,くま川鉄道,http://www.kumagawa-rail.com/,0,0,237
240,99,肥薩おれんじ鉄道,Hisatsu orenji tetsudou,ヒサツオレンジテツドウ,肥薩おれんじ鉄道株式会社,Hisatsu orenji tetsudou kabushiki kaisha,肥薩おれんじ鉄道,http://www.hs-orange.com/,0,0,238
241,99,熊本市交通局,Kumamoto shi koutsuu kyoku,クマモトシコウツウキョク,熊本市交通局,Kumamoto shi koutsuu kyoku,熊本市交通局,http://www.kotsu-kumamoto.jp/,0,0,239
242,99,鹿児島市交通局,Kagoshima shi koutsuu kyoku,カゴシマコウツウキョク,鹿児島市交通局,Kagoshima shi koutsuu kyoku,鹿児島市交通局,http://www.kotsu-city-kagoshima.jp/,0,0,240
243,99,沖縄都市モノレール,Okinawa toshi monorail,オキナワトシモノレール,沖縄都市モノレール株式会社,Okinawa toshi monorail kabushiki kaisha,沖縄都市モノレール,http://www.yui-rail.co.jp/,0,0,241
